# tau	correlation
0	1.5671980300058708
1	0.14554663744394647
2	-0.1947083633920086
3	-0.8770441107500131
4	0.3865928701640674
5	0.17832387869854896
6	0.23864729324345998
7	-0.36183499403868835
8	0.0049371887131766665
9	-0.015485508595511285
10	-0.16962059224916293
11	0.16659752556364152
12	-0.04610299325088167
13	0.17260875565399134
14	-0.26362894011015364
15	0.09478165856113903
16	-0.13406707756699843
17	0.8542826873334949
18	-0.6507437992926273
19	-0.13938013892582582
20	-0.4216230779647751
21	1.09864056532303
22	-0.30522669670680797
23	-0.37208973659776484
24	-0.9041012798212409
25	1.1477379438113966
26	0.38759732579778977
27	-0.041315586346854234
28	-0.6138693893230288
29	-0.053968281059601345
30	0.13089046129250062
31	0.3385959461615576
32	0.08720780617851846
33	-0.1741328482733215
34	-0.115955928905707
35	-0.49957708954428376
36	0.2566741562202367
37	0.06816420689641181
38	0.5611917919223712
39	-0.5757294088552638
40	-0.24060519561152854
41	-0.38223546195135144
42	1.4575805034805405
43	-0.25564258751889996
44	-0.2566798278588008
45	-0.7957388111090284
46	0.827722997565784
47	0.03733711496333991
48	-0.047118266371567734
49	-0.7391285559289633
50	0.45569975923317807
51	0.24501175865026614
52	-0.00884985522471172
53	-0.1474403668685654
54	-0.1635468465149739
55	0.05730058755236613
56	0.09118978907680113
57	0.24519798021765704
58	-0.1186044205506633
59	0.26268057154968094
60	-0.7235870577324
61	0.0716281683527589
62	-0.09014884240492668
63	0.9811818046158809
64	-0.5559935071668883
65	-0.44605522932590747
66	-0.7445278798113327
67	1.537383556211802
68	0.2063699501797947
69	-0.17193288622870675
70	-0.86014154153541
71	0.30389615471381887
72	0.18370030578945545
73	0.27602094247590364
74	-0.2839866940437481
75	-0.04845879328814291
76	-0.05515992580266599
77	-0.21575355621533435
78	0.2027111530286723
79	-0.018876996276175003
80	0.21784371917648682
81	-0.326925448707467
82	0.04698665660853299
83	-0.1560421363728373
84	0.9670574854091157
85	-0.6075976489013138
86	-0.17065585160848415
87	-0.4889887955653347
88	1.0848501512718087
89	-0.2481979842028533
90	-0.3339937260260834
91	-0.9049556564317155
92	1.0456694202673005
93	0.3893090851532294
94	-0.023154873140005396
95	-0.5468169392833817
96	-0.0951183097249145
97	0.11354252089072675
98	0.32156712508319446
99	0.1362591526563748
100	-0.17290396365930336
101	-0.09025448289789809
102	-0.5490541594840979
103	0.2419251419525872
104	0.06474674805538273
105	0.6337690454373265
106	-0.5969987808265961
107	-0.2884973713132925
108	-0.43841342604977934
109	1.511450962238613
110	-0.17859411954333573
111	-0.25541409732231674
112	-0.8315608445287642
113	0.7538491928641228
114	0.07714424299646802
115	0.011443923137054389
116	-0.6808345873411827
117	0.35538955868574207
118	0.1984398280420013
119	-0.02525341419482483
120	-0.07781366838248863
121	-0.15114395519540466
122	0.06244363349462036
123	0.029732024584329324
124	0.2350011281350044
125	-0.11084376536407352
126	0.3608882714098792
127	-0.7310212720477663
