# p	X(p)
0	0.6169391701550175
1	0.6313963312102174
2	0.6739280000193859
3	0.7426417804255749
4	0.8359038480920459
5	0.9534555658431225
6	1.0971212986341852
7	1.2714276287180557
8	1.4845967615815838
9	1.7505101629217321
10	2.092765972072583
11	2.55358381886959
12	3.2155134633191262
13	4.26366095152286
14	6.215819608682704
15	11.279790947322674
16	60.89120124115667
17	17.39873247845958
18	7.4000733144136515
19	4.557174323234824
20	3.1776062103502385
21	2.3363140547866617
22	1.747714315110075
23	1.293772933278703
24	0.9174976263592799
25	0.5959267641528191
26	0.37346351106755354
27	0.4640265416121774
28	0.8604118222547413
29	1.4912396841358857
30	2.5550968701681236
31	4.927320254135125
32	17.325293120841994
33	14.960129654453938
34	5.436176538660264
35	3.2963519818968186
36	2.3066860517484757
37	1.7247297085982745
38	1.3657354077927055
39	1.1962306334145691
40	1.2363243810954376
41	1.4932101883192013
42	1.9578949633990548
43	2.655466290024874
44	3.6861676630241496
45	5.296862145087101
46	8.12745887883665
47	14.364043060997457
48	39.16752930286404
49	89.09732267258863
50	23.82361035254332
51	14.796926776757392
52	11.292657318520957
53	9.513331847127594
54	8.529991918054277
55	8.025764877105532
56	7.899078089218731
57	8.179000283860958
58	9.067723435068416
59	11.222830284185262
60	17.427035945980233
61	67.92579834660411
62	26.7423851171519
63	10.914505448266867
64	10.91684126292123
65	103.97134535045424
66	12.581456210110817
67	8.499202461102785
68	7.164844114921316
69	6.601552906526769
70	6.399142865928732
71	6.433069161316851
72	6.676559998511716
73	7.166861517329708
74	8.032285372721987
75	9.633254118976861
76	13.286003489547536
77	30.305564836814074
78	23.19795838577946
79	5.500078556319123
80	9.575664510670064
81	96.08547268964429
82	13.927859576996138
83	6.299647787008138
84	4.026361407409264
85	3.126358330915416
86	2.8691933384533104
87	2.9787629940888194
88	3.3160005050207118
89	3.825164267992568
90	4.511024318887226
91	5.436225645530227
92	6.7701327235899935
93	9.20452621504152
94	7.92128418710097
95	14.185902695065147
96	25.84149388081714
97	101.58816534514747
98	55.36333808235761
99	21.846488697137808
100	13.538598960154365
101	9.712826679551846
102	7.469257002864941
103	5.957929224349933
104	4.838029195058193
105	3.9476538729112827
106	3.2104543995219736
107	2.630727773623673
108	2.4097290898191757
109	3.4105802807277286
110	76.17858653230901
111	3.293931871220648
112	9.109679131689317
113	32.90338786929192
114	54.305625183051745
115	18.888875201891505
116	12.632316655653263
117	10.008775574494939
118	8.566959672511537
119	7.6628194647587105
120	7.054326895444425
121	6.6324596882615
122	6.345630557264226
123	6.177819556323133
124	6.160996652044151
125	6.518973799062695
126	12.425512459681697
127	3.2789370003850435
128	3.923432417145259
129	3.2789370003850635
130	12.425512459681688
131	6.518973799062689
132	6.160996652044151
133	6.177819556323133
134	6.3456305572642275
135	6.6324596882615
136	7.054326895444425
137	7.66281946475871
138	8.566959672511539
139	10.008775574494937
140	12.632316655653264
141	18.8888752018915
142	54.30562518305176
143	32.90338786929195
144	9.109679131689315
145	3.2939318712206385
146	76.17858653230901
147	3.410580280727733
148	2.4097290898191757
149	2.6307277736236743
150	3.2104543995219665
151	3.947653872911281
152	4.838029195058192
153	5.957929224349937
154	7.469257002864934
155	9.71282667955184
156	13.538598960154363
157	21.846488697137804
158	55.3633380823576
159	101.58816534514747
160	25.841493880817136
161	14.18590269506515
162	7.921284187100981
163	9.204526215041513
164	6.770132723589995
165	5.436225645530226
166	4.511024318887234
167	3.8251642679925655
168	3.316000505020712
169	2.9787629940888167
170	2.869193338453315
171	3.1263583309154113
172	4.026361407409264
173	6.299647787008134
174	13.927859576996134
175	96.08547268964429
176	9.575664510670066
177	5.500078556319141
178	23.197958385779472
179	30.305564836814067
180	13.286003489547536
181	9.633254118976861
182	8.032285372721992
183	7.16686151732971
184	6.676559998511717
185	6.433069161316852
186	6.3991428659287335
187	6.601552906526777
188	7.164844114921318
189	8.499202461102792
190	12.581456210110822
191	103.97134535045424
192	10.91684126292123
193	10.914505448266858
194	26.742385117151905
195	67.9257983466041
196	17.427035945980233
197	11.222830284185257
198	9.067723435068418
199	8.179000283860963
200	7.899078089218731
201	8.025764877105534
202	8.529991918054275
203	9.513331847127596
204	11.292657318520959
205	14.796926776757397
206	23.823610352543316
207	89.09732267258865
208	39.16752930286404
209	14.364043060997446
210	8.127458878836652
211	5.296862145087103
212	3.686167663024151
213	2.655466290024873
214	1.9578949633990566
215	1.4932101883192053
216	1.2363243810954387
217	1.1962306334145714
218	1.3657354077927044
219	1.7247297085982758
220	2.306686051748474
221	3.2963519818968217
222	5.4361765386602645
223	14.960129654453942
224	17.32529312084199
225	4.92732025413512
226	2.5550968701681254
227	1.4912396841358837
228	0.8604118222547427
229	0.46402654161217916
230	0.37346351106755277
231	0.5959267641528201
232	0.9174976263592793
233	1.2937729332787038
234	1.7477143151100716
235	2.336314054786659
236	3.1776062103502394
237	4.557174323234824
238	7.400073314413648
239	17.39873247845958
240	60.891201241156665
241	11.279790947322674
242	6.215819608682717
243	4.263660951522865
244	3.215513463319127
245	2.5535838188695905
246	2.0927659720725864
247	1.750510162921738
248	1.4845967615815852
249	1.2714276287180581
250	1.0971212986341843
251	0.9534555658431247
252	0.8359038480920483
253	0.7426417804255766
254	0.6739280000193936
255	0.6313963312102309
